riadok_id	dodavatelsky_kod	ean	mpn	oe_cisla	tecdoc_id	znacka	vyrobca	dodavatel	kategoria	podkategoria	kategoria_kod	nazov_produktu	kratky_popis	dlhy_popis	typ_variantu	hodnota_variantu	pozicia_montaze	strana	farba	mena	dph_sadzba_pct	voc_bez_dph	voc_s_dph	moc_bez_dph	moc_s_dph	marza_pct	rabat_pct	akciova_cena_s_dph	cena_za_jednotku	jednotka_ceny	zaloha_za_diel	sklad_mnozstvo	sklad_lokalita	dostupnost	doba_dodania	doba_dodania_dni	min_objednavka	objednavkovy_nasobok	ks_v_baleni	balenie_typ	expedicia_do	hmotnost_netto_kg	hmotnost_brutto_kg	dlzka_mm	sirka_mm	vyska_mm	objem_l	rozmery_text	kompatibilita_vozidla	rok_vyroby_od	rok_vyroby_do	norma_certifikat	colny_kod_hs	krajina_povodu	stav_tovaru	zaruka_mesiace	pneu_sezonnost	eu_stitok_palivo	eu_stitok_prilnavost	eu_stitok_hluk_db	olej_viskozita	olej_norma	obrazok_url	datasheet_url	aktivny	datum_aktualizacie
11	BPR-BRK-000011	8590672821987	BOS640760	OE5048104	29117	Bosch	Bosch	BrzdyPro s.r.o.	Brzdový systém	Brzdové čeľuste	BRK	Brzdové čeľuste Bosch	Brzdové čeľuste Bosch, priemer 288 mm	Brzdové čeľuste značky Bosch s priemerom 288 mm. Schválené podľa ECE R90, povrchová úprava proti korózii, vyvážené pre nízku hlučnosť.	Zadná náprava		Zadná náprava	Pravá		EUR	23	50.20	61.75	75.10	92.37	49.6	10	83.13		€/ks		23	DC-WIEN Viedeň	Skladom	24 h	1	2	2	2	Kartón	24 h	5.24	6.44	288	288	19		288x288x19 mm	Renault Mégane III 2008–2016	2008	2016	ECE R90	8708.30	Čína	Nový	24							https://cdn.bpr.sk/img/bpr-brk-000011.jpg	https://cdn.bpr.sk/doc/bpr-brk-000011.pdf	áno	2026-06-02
12	BPR-BRK-000012	8595964195890	FER194297	OE2245170;OE2779796;OE1917364	41703	Ferodo	Ferodo	BrzdyPro s.r.o.	Brzdový systém	Brzdové platničky	BRK	Brzdové platničky Ferodo	Brzdové platničky Ferodo, priemer 330 mm	Brzdové platničky značky Ferodo s priemerom 330 mm. Schválené podľa ECE R90, povrchová úprava proti korózii, vyvážené pre nízku hlučnosť.	Predná/Zadná náprava		Predná/Zadná náprava	Pravá		EUR	23	30.99	38.12	42.91	52.78	38.5	0			€/ks		0	KE-03 Košice	Na objednávku	7 dní	7	5	2	1	Plastová nádoba	7 dní	2.55	2.93	330	330	41		330x330x41 mm	Volkswagen Golf VII 2012–2020	2012	2020	ECE R90	8708.30	Poľsko	Nový	24							https://cdn.bpr.sk/img/bpr-brk-000012.jpg	https://cdn.bpr.sk/doc/bpr-brk-000012.pdf	áno	2026-06-02
13	BPR-PRT-000013	8595780193384	LUK609682	OE7951091	32726	LuK	LuK	BrzdyPro s.r.o.	Náhradné diely	Spojková sada	PRT	Spojková sada LuK	Spojková sada LuK	Spojková sada LuK. Presné lícovanie podľa OE špecifikácie, overená spoľahlivosť a životnosť.	Motor		Motor	Sada		EUR	23	185.09	227.66	283.50	348.70	53.2	10	313.83		€/ks		2	DC-PRG Praha	Na ceste	2–3 dni	3	4	1	1	Kartón	2–3 dni	4.30	5.12	379	226	104		379x226x104 mm	Škoda Superb II (3T) 2008–2015	2008	2015		8708.99	Turecko	Nový	24							https://cdn.bpr.sk/img/bpr-prt-000013.jpg	https://cdn.bpr.sk/doc/bpr-prt-000013.pdf	nie	2026-06-02
14	BPR-TYR-000014	8598726197934	BRI321855		84666	Bridgestone	Bridgestone	BrzdyPro s.r.o.	Pneumatiky	Letná pneumatika	TYR	Bridgestone 175/45 R17 94H letná	Letná pneu Bridgestone 175/45 R17 94H	Letná pneumatika Bridgestone 175/45 R17, nosnosť 94, rýchlosť H. EÚ štítok: palivo B, priľnavosť na mokre B, hluk 71 dB.	Rozmer	175/45 R17 94H				EUR	23	95.18	117.07	118.25	145.45	24.2	0			€/ks		0	DC-PRG Praha	Na objednávku	7 dní	7	4	1	4	Sada v krabici	7 dní	9.10	10.28	525	175	175		525x175x175 mm	Univerzálne			ECE R30	4011.10	Taliansko	Nový	24	Letná	B	B	71			https://cdn.bpr.sk/img/bpr-tyr-000014.jpg	https://cdn.bpr.sk/doc/bpr-tyr-000014.pdf	áno	2026-06-02
15	BPR-BRK-000015	8597413230862	BOS232044	OE7779584;OE5616096	77782	Bosch	Bosch	BrzdyPro s.r.o.	Brzdový systém	Brzdové kotúče	BRK	Brzdové kotúče Bosch	Brzdové kotúče Bosch, priemer 256 mm	Brzdové kotúče značky Bosch s priemerom 256 mm. Schválené podľa ECE R90, povrchová úprava proti korózii, vyvážené pre nízku hlučnosť.	Predná/Zadná náprava		Predná/Zadná náprava	Ľavá		EUR	23	65.19	80.18	96.75	119.00	48.4	10	107.10		€/ks		304	DC-WIEN Viedeň	Skladom	24 h	1	10	1	1	Plastová nádoba	24 h	6.77	8.00	256	256	20		256x256x20 mm	Ford Focus III 2010–2018	2010	2018	ECE R90	8708.30	Poľsko	Nový	24							https://cdn.bpr.sk/img/bpr-brk-000015.jpg	https://cdn.bpr.sk/doc/bpr-brk-000015.pdf	áno	2026-06-02
16	BPR-FLT-000016	8596103194521	MAH996593	OE3851441;OE4849459	34699	Mahle	Mahle	BrzdyPro s.r.o.	Filtre	Vzduchový filter	FLT	Vzduchový filter Mahle	Vzduchový filter Mahle, typ Aktívne uhlie	Vzduchový filter Mahle (Aktívne uhlie). Presná lícovacia geometria, vysoká filtračná účinnosť a dlhá životnosť podľa servisných intervalov výrobcu.	Typ filtra	Aktívne uhlie				EUR	23	24.40	30.01	39.03	48.01	60.0	0			€/ks		166	DC-PRG Praha	Skladom	24 h	1	10	2	1	Fólia	24 h	1.38	1.66	119	220	36		119x220x36 mm	Volkswagen Passat B7 2010–2014	2010	2014	ISO 4548	8421.23	Taliansko	Nový	24							https://cdn.bpr.sk/img/bpr-flt-000016.jpg	https://cdn.bpr.sk/doc/bpr-flt-000016.pdf	áno	2026-06-02
17	BPR-BRK-000017	8597693394773	BOS571443	OE7673949;OE2828466	63644	Bosch	Bosch	BrzdyPro s.r.o.	Brzdový systém	Brzdové čeľuste	BRK	Brzdové čeľuste Bosch	Brzdové čeľuste Bosch, priemer 312 mm	Brzdové čeľuste značky Bosch s priemerom 312 mm. Schválené podľa ECE R90, povrchová úprava proti korózii, vyvážené pre nízku hlučnosť.	Zadná náprava		Zadná náprava			EUR	23	45.68	56.19	63.79	78.46	39.6	10	70.61		€/ks		455	ZA-02 Žilina	Skladom	24 h	1	2	1	4	Plastová nádoba	24 h	7.59	8.30	312	312	21		312x312x21 mm	Volkswagen Passat B8 2014–2023	2014	2023	ECE R90	8708.30	Japonsko	Nový	24							https://cdn.bpr.sk/img/bpr-brk-000017.jpg	https://cdn.bpr.sk/doc/bpr-brk-000017.pdf	áno	2026-06-02
18	BPR-BRK-000018	8597960501965	CIF244444	OE6469827;OE8711188	93333	Cifam	Cifam	BrzdyPro s.r.o.	Brzdový systém	Brzdový strmeň	BRK	Brzdový strmeň Cifam	Brzdový strmeň Cifam, priemer 288 mm	Brzdový strmeň značky Cifam s priemerom 288 mm. Schválené podľa ECE R90, povrchová úprava proti korózii, vyvážené pre nízku hlučnosť.	Os kolesa		Os kolesa	Pravá		EUR	23	88.53	108.89	131.76	162.06	48.8	15	137.75		€/ks	20.65	158	DC-WIEN Viedeň	Skladom	24 h	1	4	4	1	Blister	24 h	1.90	2.37	288	288	87		288x288x87 mm	Peugeot 308 II 2013–2021	2013	2021	ECE R90	8708.30	Slovensko	Nový	24							https://cdn.bpr.sk/img/bpr-brk-000018.jpg	https://cdn.bpr.sk/doc/bpr-brk-000018.pdf	nie	2026-06-02
19	BPR-LGT-000019	8599373035549	VAL382609		70798	Valeo	Valeo	BrzdyPro s.r.o.	Osvetlenie a viditeľnosť	Stierač (sada)	LGT	Stierač (sada) Valeo	Stierač (sada) Valeo	Stierač (sada) Valeo. Vysoká svietivosť / dokonalé stieranie, dlhá životnosť, schválené pre cestnú prevádzku (ECE).	Balenie	2 ks (pár)				EUR	23	17.19	21.14	25.19	30.98	46.5	0			€/ks		250	ZA-02 Žilina	Skladom	24 h	1	5	4	1	Sada v krabici	24 h	0.60	0.66	138	42	45		138x42x45 mm	BMW 3 E90 2005–2012	2005	2012	ECE R37/R112	8512.20	Slovensko	Nový	12							https://cdn.bpr.sk/img/bpr-lgt-000019.jpg	https://cdn.bpr.sk/doc/bpr-lgt-000019.pdf	áno	2026-06-02
20	BPR-BRK-000020	8591528438830	CIF476869	OE5865879;OE3937245	88427	Cifam	Cifam	BrzdyPro s.r.o.	Brzdový systém	Brzdový strmeň	BRK	Brzdový strmeň Cifam	Brzdový strmeň Cifam, priemer 256 mm	Brzdový strmeň značky Cifam s priemerom 256 mm. Schválené podľa ECE R90, povrchová úprava proti korózii, vyvážené pre nízku hlučnosť.	Os kolesa		Os kolesa	Pravá		EUR	23	138.00	169.74	192.77	237.11	39.7	0			€/ks	34.36	302	KE-03 Košice	Skladom	24 h	1	5	1	2	Blister	24 h	7.22	7.60	256	256	29		256x256x29 mm	Škoda Octavia II (1Z) 2004–2013	2004	2013	ECE R90	8708.30	Japonsko	Nový	24							https://cdn.bpr.sk/img/bpr-brk-000020.jpg	https://cdn.bpr.sk/doc/bpr-brk-000020.pdf	áno	2026-06-02
21	BPR-FLU-000021	8596019928739	BOS721054		78729	Bosch	Bosch	BrzdyPro s.r.o.	Prevádzkové kvapaliny	Brzdová kvapalina	FLU	Brzdová kvapalina Bosch 0.5 L	Brzdová kvapalina Bosch, 0.5 L, DOT 4	Brzdová kvapalina Bosch, norma DOT 4, balenie 0.5 L. Pripravená na priame použitie, v súlade s technickými špecifikáciami výrobcov vozidiel.	Balenie	0.5 L				EUR	23	10.23	12.58	13.96	17.17	36.5	15	14.59	34.34	€/L		257	DC-WIEN Viedeň	Skladom	24 h	1	2	1	1	Sada v krabici	24 h	0.54	0.61	91	130	345	0.50	91x130x345 mm	Univerzálne			DOT 4	3819.00	Nemecko	Nový	0							https://cdn.bpr.sk/img/bpr-flu-000021.jpg	https://cdn.bpr.sk/doc/bpr-flu-000021.pdf	áno	2026-06-02
22	BPR-BRK-000022	8591288876453	BOS822453	OE4762307;OE5757019;OE7343007	83548	Bosch	Bosch	BrzdyPro s.r.o.	Brzdový systém	Brzdové platničky	BRK	Brzdové platničky Bosch	Brzdové platničky Bosch, priemer 330 mm	Brzdové platničky značky Bosch s priemerom 330 mm. Schválené podľa ECE R90, povrchová úprava proti korózii, vyvážené pre nízku hlučnosť.	Predná/Zadná náprava		Predná/Zadná náprava			EUR	23	50.42	62.02	68.04	83.69	34.9	15	71.14		€/ks		66	DC-WIEN Viedeň	Skladom	24 h	1	5	1	4	Kartón	24 h	7.29	8.56	330	330	38		330x330x38 mm	BMW 5 F10 2010–2017	2010	2017	ECE R90	8708.30	Nemecko	Nový	24							https://cdn.bpr.sk/img/bpr-brk-000022.jpg	https://cdn.bpr.sk/doc/bpr-brk-000022.pdf	áno	2026-06-02
23	BPR-PRT-000023	8590141217006	MON303686	OE1459022	68121	Monroe	Monroe	BrzdyPro s.r.o.	Náhradné diely	Tlmič pruženia	PRT	Tlmič pruženia Monroe	Tlmič pruženia Monroe	Tlmič pruženia Monroe. Presné lícovanie podľa OE špecifikácie, overená spoľahlivosť a životnosť.	Predná náprava		Predná náprava	Ľavá		EUR	23	93.23	114.67	122.92	151.19	31.8	15	128.51		€/ks		0	DC-PRG Praha	Na objednávku	10 dní	10	2	4	2	Kartón	10 dní	4.05	4.81	206	195	199		206x195x199 mm	Opel Astra J 2009–2015	2009	2015		8708.99	Japonsko	Nový	24							https://cdn.bpr.sk/img/bpr-prt-000023.jpg	https://cdn.bpr.sk/doc/bpr-prt-000023.pdf	áno	2026-06-02
24	BPR-FLT-000024	8591857816606	MAN832349	OE2066021;OE1398987	32689	Mann-Filter	Mann-Filter	BrzdyPro s.r.o.	Filtre	Vzduchový filter	FLT	Vzduchový filter Mann-Filter	Vzduchový filter Mann-Filter, typ Vysoký prietok	Vzduchový filter Mann-Filter (Vysoký prietok). Presná lícovacia geometria, vysoká filtračná účinnosť a dlhá životnosť podľa servisných intervalov výrobcu.	Typ filtra	Vysoký prietok				EUR	23	7.40	9.10	11.02	13.55	48.9	5	12.87		€/ks		0	KE-03 Košice	Vypredané	—	0	1	4	4	Fólia	—	0.40	0.44	174	208	105		174x208x105 mm	Ford Mondeo IV 2007–2014	2007	2014	ISO 4548	8421.23	Japonsko	Nový	24							https://cdn.bpr.sk/img/bpr-flt-000024.jpg	https://cdn.bpr.sk/doc/bpr-flt-000024.pdf	áno	2026-06-02
25	BPR-LGT-000025	8598193546426	PHI813856		64324	Philips	Philips	BrzdyPro s.r.o.	Osvetlenie a viditeľnosť	Žiarovka H7	LGT	Žiarovka H7 Philips	Žiarovka H7 Philips	Žiarovka H7 Philips. Vysoká svietivosť / dokonalé stieranie, dlhá životnosť, schválené pre cestnú prevádzku (ECE).	Balenie	Sada				EUR	23	3.66	4.50	5.37	6.61	46.7	0			€/ks		10	DC-WIEN Viedeň	Na ceste	2–3 dni	3	2	4	4	Fólia	2–3 dni	0.39	0.41	689	57	27		689x57x27 mm	Mercedes-Benz C W204 2007–2014	2007	2014	ECE R37/R112	8512.20	Taliansko	Nový	12							https://cdn.bpr.sk/img/bpr-lgt-000025.jpg	https://cdn.bpr.sk/doc/bpr-lgt-000025.pdf	nie	2026-06-02
26	BPR-BRK-000026	8596848855473	TRW560751	OE9266693;OE2877233;OE5606788	56853	TRW	TRW	BrzdyPro s.r.o.	Brzdový systém	Brzdové čeľuste	BRK	Brzdové čeľuste TRW	Brzdové čeľuste TRW, priemer 300 mm	Brzdové čeľuste značky TRW s priemerom 300 mm. Schválené podľa ECE R90, povrchová úprava proti korózii, vyvážené pre nízku hlučnosť.	Zadná náprava		Zadná náprava			EUR	23	37.30	45.88	50.13	61.66	34.4	15	52.41		€/ks		168	DC-PRG Praha	Skladom	24 h	1	2	4	1	Sada v krabici	24 h	8.91	10.11	300	300	39		300x300x39 mm	Škoda Octavia II (1Z) 2004–2013	2004	2013	ECE R90	8708.30	Turecko	Nový	24							https://cdn.bpr.sk/img/bpr-brk-000026.jpg	https://cdn.bpr.sk/doc/bpr-brk-000026.pdf	áno	2026-06-02
27	BPR-BRK-000027	8591470693035	CIF633582	OE3712874	30403	Cifam	Cifam	BrzdyPro s.r.o.	Brzdový systém	Brzdový strmeň	BRK	Brzdový strmeň Cifam	Brzdový strmeň Cifam, priemer 256 mm	Brzdový strmeň značky Cifam s priemerom 256 mm. Schválené podľa ECE R90, povrchová úprava proti korózii, vyvážené pre nízku hlučnosť.	Os kolesa		Os kolesa			EUR	23	79.09	97.28	105.60	129.89	33.5	0			€/ks	23.53	416	KE-03 Košice	Skladom	24 h	1	1	1	2	Sada v krabici	24 h	6.03	7.03	256	256	18		256x256x18 mm	Opel Insignia A 2008–2017	2008	2017	ECE R90	8708.30	Poľsko	Nový	24							https://cdn.bpr.sk/img/bpr-brk-000027.jpg	https://cdn.bpr.sk/doc/bpr-brk-000027.pdf	áno	2026-06-02
28	BPR-BRK-000028	8591860776751	ATE321034	OE1844686;OE3864110	12968	ATE	ATE	BrzdyPro s.r.o.	Brzdový systém	Brzdový strmeň	BRK	Brzdový strmeň ATE	Brzdový strmeň ATE, priemer 280 mm	Brzdový strmeň značky ATE s priemerom 280 mm. Schválené podľa ECE R90, povrchová úprava proti korózii, vyvážené pre nízku hlučnosť.	Os kolesa		Os kolesa	Ľavá		EUR	23	84.17	103.53	130.18	160.12	54.7	10	144.11		€/ks	26.61	4	DC-WIEN Viedeň	Na ceste	2–3 dni	3	5	4	1	Blister	2–3 dni	3.48	3.82	280	280	84		280x280x84 mm	Opel Insignia A 2008–2017	2008	2017	ECE R90	8708.30	Japonsko	Nový	24							https://cdn.bpr.sk/img/bpr-brk-000028.jpg	https://cdn.bpr.sk/doc/bpr-brk-000028.pdf	áno	2026-06-02
29	BPR-PRT-000029	8596914851354	DEN296435	OE4249463	11379	Denso	Denso	BrzdyPro s.r.o.	Náhradné diely	Štartér	PRT	Štartér Denso	Štartér Denso	Štartér Denso. Presné lícovanie podľa OE špecifikácie, overená spoľahlivosť a životnosť. Repasovaný diel s vratnou zálohou.	Predná náprava		Predná náprava	Pravá		EUR	23	110.60	136.04	146.62	180.34	32.6	0			€/ks	30.09	19	BA-01 Bratislava	Na ceste	2–3 dni	3	2	1	1	Plastová nádoba	2–3 dni	11.53	12.44	204	268	161		204x268x161 mm	Peugeot 308 II 2013–2021	2013	2021		8708.99	Francúzsko	Repasovaný	24							https://cdn.bpr.sk/img/bpr-prt-000029.jpg	https://cdn.bpr.sk/doc/bpr-prt-000029.pdf	áno	2026-06-02
30	BPR-FLT-000030	8590069660717	MAN909947	OE6726989;OE8675520	44759	Mann-Filter	Mann-Filter	BrzdyPro s.r.o.	Filtre	Kabínový filter	FLT	Kabínový filter Mann-Filter	Kabínový filter Mann-Filter, typ Vysoký prietok	Kabínový filter Mann-Filter (Vysoký prietok). Presná lícovacia geometria, vysoká filtračná účinnosť a dlhá životnosť podľa servisných intervalov výrobcu.	Typ filtra	Vysoký prietok				EUR	23	23.23	28.57	34.08	41.92	46.7	0			€/ks		123	BA-01 Bratislava	Skladom	24 h	1	1	1	4	Blister	24 h	0.36	0.40	78	87	104		78x87x104 mm	Hyundai i30 II (GD) 2011–2017	2011	2017	ISO 4548	8421.23	Slovensko	Nový	24							https://cdn.bpr.sk/img/bpr-flt-000030.jpg	https://cdn.bpr.sk/doc/bpr-flt-000030.pdf	nie	2026-06-02
31	BPR-FLT-000031	8592621016611	BOS96455	OE1503026;OE7114758;OE8466143	23489	Bosch	Bosch	BrzdyPro s.r.o.	Filtre	Olejový filter	FLT	Olejový filter Bosch	Olejový filter Bosch, typ Vysoký prietok	Olejový filter Bosch (Vysoký prietok). Presná lícovacia geometria, vysoká filtračná účinnosť a dlhá životnosť podľa servisných intervalov výrobcu.	Typ filtra	Vysoký prietok				EUR	23	8.32	10.23	11.73	14.43	41.0	0			€/ks		32	KE-03 Košice	Na ceste	2–3 dni	3	10	4	4	Blister	2–3 dni	1.13	1.31	222	86	88		222x86x88 mm	Peugeot 308 II 2013–2021	2013	2021	ISO 4548	8421.23	Poľsko	Nový	24							https://cdn.bpr.sk/img/bpr-flt-000031.jpg	https://cdn.bpr.sk/doc/bpr-flt-000031.pdf	áno	2026-06-02
