row_id	supplier_sku	ean	mpn	oe_numbers	tecdoc_id	brand	manufacturer	supplier	category	subcategory	category_code	product_name	short_description	long_description	variant_type	variant_value	fitment_position	side	color	currency	vat_rate_pct	wholesale_price_excl_vat	wholesale_price_incl_vat	retail_price_excl_vat	retail_price_incl_vat	margin_pct	discount_pct	sale_price_incl_vat	unit_price	price_unit	core_deposit	stock_qty	warehouse_location	availability	lead_time	lead_time_days	min_order_qty	order_multiple	units_per_pack	packaging_type	dispatch_within	net_weight_kg	gross_weight_kg	length_mm	width_mm	height_mm	volume_l	dimensions_text	vehicle_compatibility	year_from	year_to	standard_certification	hs_customs_code	country_of_origin	condition	warranty_months	tire_season	eu_label_fuel	eu_label_grip	eu_label_noise_db	oil_viscosity	oil_standard	image_url	datasheet_url	active	updated_at
21	OLX-FLU-000021	8594797338610	LIQ963571		99847	Liqui Moly	Liqui Moly	OlejExpert s.r.o.	Fluids	Coolant	FLU	Coolant Liqui Moly 1.5 L	Coolant Liqui Moly, 1.5 L, G12++	Coolant Liqui Moly, G12++ standard, 1.5 L pack. Ready to use, compliant with vehicle manufacturer specifications.	Pack	1.5 L				EUR	23	6.98	8.59	9.04	11.12	29.5	0		7.41	€/L		354	DC-VIE Vienna	In stock	24 h	1	2	2	1	Plastic container	24 h	1.52	1.76	188	139	204	1.50	188x139x204 mm	Universal			G12++	3819.00	Spain	New	0							https://cdn.olx.example/img/olx-flu-000021.jpg	https://cdn.olx.example/doc/olx-flu-000021.pdf	no	2026-06-02
22	OLX-FLU-000022	8596019647746	MOB136041		26082	Mobil	Mobil	OlejExpert s.r.o.	Fluids	Engine oil	FLU	Engine oil Mobil 0W-20 5 L	Synthetic oil Mobil 0W-20, 5 L pack	Fully synthetic engine oil Mobil 0W-20. ACEA C3, API SP standards, VW/MB/BMW approvals. 5 L pack.	Viscosity/Pack	0W-20 / 5 L				EUR	23	29.91	36.79	40.22	49.47	34.5	10	44.52	9.89	€/L		147	ZA-02 Zilina	In stock	24 h	1	2	1	1	Film wrap	24 h	4.70	5.74	226	137	346	5.00	226x137x346 mm	Universal			ACEA C3 / API SP	3819.00	Germany	New	0					0W-20	ACEA C3, API SP	https://cdn.olx.example/img/olx-flu-000022.jpg	https://cdn.olx.example/doc/olx-flu-000022.pdf	no	2026-06-02
23	OLX-FLU-000023	8599391577557	LIQ426552		18417	Liqui Moly	Liqui Moly	OlejExpert s.r.o.	Fluids	Engine oil	FLU	Engine oil Liqui Moly 15W-40 5 L	Synthetic oil Liqui Moly 15W-40, 5 L pack	Fully synthetic engine oil Liqui Moly 15W-40. ACEA A5/B5, API SN standards, VW/MB/BMW approvals. 5 L pack.	Viscosity/Pack	15W-40 / 5 L				EUR	23	60.98	75.01	76.74	94.39	25.8	0		18.88	€/L		19	ZA-02 Zilina	Incoming	2–3 days	3	1	2	1	Blister	2–3 days	4.70	5.40	214	198	389	5.00	214x198x389 mm	Universal			ACEA A5/B5 / API SN	3819.00	Spain	New	0					15W-40	ACEA A5/B5, API SN	https://cdn.olx.example/img/olx-flu-000023.jpg	https://cdn.olx.example/doc/olx-flu-000023.pdf	yes	2026-06-02
24	OLX-FLU-000024	8594744975455	SHE353056		93860	Sheron	Sheron	OlejExpert s.r.o.	Fluids	Washer fluid	FLU	Washer fluid Sheron 3 L	Washer fluid Sheron, 3 L, —	Washer fluid Sheron, — standard, 3 L pack. Ready to use, compliant with vehicle manufacturer specifications.	Pack	3 L				EUR	23	7.28	8.95	10.42	12.82	43.1	15	10.90	4.27	€/L		406	KE-03 Kosice	In stock	24 h	1	5	2	1	Boxed set	24 h	3.16	3.73	122	246	224	3.00	122x246x224 mm	Universal			—	3819.00	Czechia	New	0							https://cdn.olx.example/img/olx-flu-000024.jpg	https://cdn.olx.example/doc/olx-flu-000024.pdf	yes	2026-06-02
25	OLX-FLU-000025	8593837731893	LIQ760966		86813	Liqui Moly	Liqui Moly	OlejExpert s.r.o.	Fluids	Washer fluid	FLU	Washer fluid Liqui Moly 3 L	Washer fluid Liqui Moly, 3 L, —	Washer fluid Liqui Moly, — standard, 3 L pack. Ready to use, compliant with vehicle manufacturer specifications.	Pack	3 L				EUR	23	6.24	7.68	8.07	9.93	29.3	15	8.44	3.31	€/L		436	DC-VIE Vienna	In stock	24 h	1	1	1	4	Boxed set	24 h	3.02	3.55	197	98	225	3.00	197x98x225 mm	Universal			—	3819.00	Japan	New	0							https://cdn.olx.example/img/olx-flu-000025.jpg	https://cdn.olx.example/doc/olx-flu-000025.pdf	yes	2026-06-02
26	OLX-FLU-000026	8599700120269	MOB219542		99280	Mobil	Mobil	OlejExpert s.r.o.	Fluids	Engine oil	FLU	Engine oil Mobil 10W-40 1 L	Synthetic oil Mobil 10W-40, 1 L pack	Fully synthetic engine oil Mobil 10W-40. ACEA A5/B5, API SN PLUS standards, VW/MB/BMW approvals. 1 L pack.	Viscosity/Pack	10W-40 / 1 L				EUR	23	8.75	10.76	11.80	14.51	34.9	0		14.51	€/L		0	DC-PRG Prague	On order	14 days	14	1	1	4	Box	14 days	1.00	1.10	265	237	299	1.00	265x237x299 mm	Universal			ACEA A5/B5 / API SN PLUS	3819.00	Czechia	New	0					10W-40	ACEA A5/B5, API SN PLUS	https://cdn.olx.example/img/olx-flu-000026.jpg	https://cdn.olx.example/doc/olx-flu-000026.pdf	yes	2026-06-02
27	OLX-FLU-000027	8591622115408	VAL784458		41286	Valvoline	Valvoline	OlejExpert s.r.o.	Fluids	Engine oil	FLU	Engine oil Valvoline 15W-40 20 L	Synthetic oil Valvoline 15W-40, 20 L pack	Fully synthetic engine oil Valvoline 15W-40. ACEA C2, API SP standards, VW/MB/BMW approvals. 20 L pack.	Viscosity/Pack	15W-40 / 20 L				EUR	23	153.30	188.56	209.12	257.22	36.4	10	231.50	12.86	€/L		361	BA-01 Bratislava	In stock	24 h	1	2	2	1	Blister	24 h	18.50	23.08	134	185	331	20.00	134x185x331 mm	Universal			ACEA C2 / API SP	3819.00	Japan	New	0					15W-40	ACEA C2, API SP	https://cdn.olx.example/img/olx-flu-000027.jpg	https://cdn.olx.example/doc/olx-flu-000027.pdf	yes	2026-06-02
28	OLX-FLU-000028	8595093677304	FEB58577		57145	Febi	Febi	OlejExpert s.r.o.	Fluids	Coolant	FLU	Coolant Febi 1.5 L	Coolant Febi, 1.5 L, G12++	Coolant Febi, G12++ standard, 1.5 L pack. Ready to use, compliant with vehicle manufacturer specifications.	Pack	1.5 L				EUR	23	16.62	20.44	22.11	27.20	33.0	10	24.48	18.13	€/L		288	KE-03 Kosice	In stock	24 h	1	1	2	4	Box	24 h	1.55	1.90	154	146	281	1.50	154x146x281 mm	Universal			G12++	3819.00	France	New	0							https://cdn.olx.example/img/olx-flu-000028.jpg	https://cdn.olx.example/doc/olx-flu-000028.pdf	yes	2026-06-02
29	OLX-FLU-000029	8594841896080	VAL59250		32068	Valvoline	Valvoline	OlejExpert s.r.o.	Fluids	Engine oil	FLU	Engine oil Valvoline 5W-30 1 L	Synthetic oil Valvoline 5W-30, 1 L pack	Fully synthetic engine oil Valvoline 5W-30. ACEA C3, API SP standards, VW/MB/BMW approvals. 1 L pack.	Viscosity/Pack	5W-30 / 1 L				EUR	23	12.40	15.25	15.57	19.15	25.6	0		19.15	€/L		430	ZA-02 Zilina	In stock	24 h	1	2	2	2	Blister	24 h	1.00	1.17	145	298	358	1.00	145x298x358 mm	Universal			ACEA C3 / API SP	3819.00	China	New	0					5W-30	ACEA C3, API SP	https://cdn.olx.example/img/olx-flu-000029.jpg	https://cdn.olx.example/doc/olx-flu-000029.pdf	yes	2026-06-02
30	OLX-FLU-000030	8594771683491	MOB262860		81125	Mobil	Mobil	OlejExpert s.r.o.	Fluids	Engine oil	FLU	Engine oil Mobil 0W-30 4 L	Synthetic oil Mobil 0W-30, 4 L pack	Fully synthetic engine oil Mobil 0W-30. ACEA C3, API SP standards, VW/MB/BMW approvals. 4 L pack.	Viscosity/Pack	0W-30 / 4 L				EUR	23	51.60	63.47	65.07	80.04	26.1	0		20.01	€/L		0	BA-01 Bratislava	Sold out	—	0	1	2	2	Box	—	3.80	4.17	294	159	302	4.00	294x159x302 mm	Universal			ACEA C3 / API SP	3819.00	Poland	New	0					0W-30	ACEA C3, API SP	https://cdn.olx.example/img/olx-flu-000030.jpg	https://cdn.olx.example/doc/olx-flu-000030.pdf	yes	2026-06-02
31	OLX-FLU-000031	8599080739822	LIQ483614		92014	Liqui Moly	Liqui Moly	OlejExpert s.r.o.	Fluids	Engine oil	FLU	Engine oil Liqui Moly 5W-40 20 L	Synthetic oil Liqui Moly 5W-40, 20 L pack	Fully synthetic engine oil Liqui Moly 5W-40. ACEA A5/B5, API SN PLUS standards, VW/MB/BMW approvals. 20 L pack.	Viscosity/Pack	5W-40 / 20 L				EUR	23	191.18	235.15	231.18	284.35	20.9	15	241.70	14.22	€/L		0	KE-03 Kosice	On order	7 days	7	5	2	1	Box	7 days	18.50	21.72	251	266	332	20.00	251x266x332 mm	Universal			ACEA A5/B5 / API SN PLUS	3819.00	Spain	New	0					5W-40	ACEA A5/B5, API SN PLUS	https://cdn.olx.example/img/olx-flu-000031.jpg	https://cdn.olx.example/doc/olx-flu-000031.pdf	no	2026-06-02
32	OLX-BRK-000032	8597516861574	TRW108621	OE5608825;OE2567775;OE5116678	38550	TRW	TRW	OlejExpert s.r.o.	Braking system	Brake pads	BRK	Brake pads TRW	Brake pads TRW, diameter 288 mm	Brake pads by TRW with 288 mm diameter. Approved to ECE R90, anti-corrosion coating, balanced for low noise.	Front/Rear axle		Front/Rear axle			EUR	23	36.90	45.39	49.33	60.68	33.7	15	51.58		€/pc		0	DC-VIE Vienna	On order	7 days	7	4	1	1	Box	7 days	4.80	5.57	288	288	70		288x288x70 mm	BMW 3 E90 2005–2012	2005	2012	ECE R90	8708.30	Turkey	New	24							https://cdn.olx.example/img/olx-brk-000032.jpg	https://cdn.olx.example/doc/olx-brk-000032.pdf	yes	2026-06-02
33	OLX-FLU-000033	8594714982384	CAS691918		75769	Castrol	Castrol	OlejExpert s.r.o.	Fluids	Engine oil	FLU	Engine oil Castrol 0W-20 4 L	Synthetic oil Castrol 0W-20, 4 L pack	Fully synthetic engine oil Castrol 0W-20. ACEA A5/B5, API SP standards, VW/MB/BMW approvals. 4 L pack.	Viscosity/Pack	0W-20 / 4 L				EUR	23	51.88	63.81	69.40	85.36	33.8	10	76.82	21.34	€/L		167	DC-VIE Vienna	In stock	24 h	1	1	1	4	Boxed set	24 h	3.80	4.04	208	252	342	4.00	208x252x342 mm	Universal			ACEA A5/B5 / API SP	3819.00	Turkey	New	0					0W-20	ACEA A5/B5, API SP	https://cdn.olx.example/img/olx-flu-000033.jpg	https://cdn.olx.example/doc/olx-flu-000033.pdf	yes	2026-06-02
34	OLX-FLU-000034	8597192424810	VAL704574		32258	Valvoline	Valvoline	OlejExpert s.r.o.	Fluids	Engine oil	FLU	Engine oil Valvoline 5W-30 4 L	Synthetic oil Valvoline 5W-30, 4 L pack	Fully synthetic engine oil Valvoline 5W-30. ACEA A5/B5, API SN standards, VW/MB/BMW approvals. 4 L pack.	Viscosity/Pack	5W-30 / 4 L				EUR	23	49.43	60.80	60.87	74.87	23.1	0		18.72	€/L		137	KE-03 Kosice	In stock	24 h	1	1	1	1	Blister	24 h	3.80	4.52	124	262	333	4.00	124x262x333 mm	Universal			ACEA A5/B5 / API SN	3819.00	China	New	0					5W-30	ACEA A5/B5, API SN	https://cdn.olx.example/img/olx-flu-000034.jpg	https://cdn.olx.example/doc/olx-flu-000034.pdf	yes	2026-06-02
