riadok_id	dodavatelsky_kod	ean	mpn	oe_cisla	tecdoc_id	znacka	vyrobca	dodavatel	kategoria	podkategoria	kategoria_kod	nazov_produktu	kratky_popis	dlhy_popis	typ_variantu	hodnota_variantu	pozicia_montaze	strana	farba	mena	dph_sadzba_pct	voc_bez_dph	voc_s_dph	moc_bez_dph	moc_s_dph	marza_pct	rabat_pct	akciova_cena_s_dph	cena_za_jednotku	jednotka_ceny	zaloha_za_diel	sklad_mnozstvo	sklad_lokalita	dostupnost	doba_dodania	doba_dodania_dni	min_objednavka	objednavkovy_nasobok	ks_v_baleni	balenie_typ	expedicia_do	hmotnost_netto_kg	hmotnost_brutto_kg	dlzka_mm	sirka_mm	vyska_mm	objem_l	rozmery_text	kompatibilita_vozidla	rok_vyroby_od	rok_vyroby_do	norma_certifikat	colny_kod_hs	krajina_povodu	stav_tovaru	zaruka_mesiace	pneu_sezonnost	eu_stitok_palivo	eu_stitok_prilnavost	eu_stitok_hluk_db	olej_viskozita	olej_norma	obrazok_url	datasheet_url	aktivny	datum_aktualizacie
11	MMK-FLT-000011	8590097134709	MAN117861	OE5356550	64034	Mann-Filter	Mann-Filter	MotoMarket s.r.o.	Filtre	Vzduchový filter	FLT	Vzduchový filter Mann-Filter	Vzduchový filter Mann-Filter, typ Aktívne uhlie	Vzduchový filter Mann-Filter (Aktívne uhlie). Presná lícovacia geometria, vysoká filtračná účinnosť a dlhá životnosť podľa servisných intervalov výrobcu.	Typ filtra	Aktívne uhlie				EUR	23	10.57	13.00	14.86	18.28	40.6	0			€/ks		397	BA-01 Bratislava	Skladom	24 h	1	10	1	2	Blister	24 h	0.25	0.30	101	167	78		101x167x78 mm	Hyundai i30 II (GD) 2011–2017	2011	2017	ISO 4548	8421.23	Turecko	Nový	24							https://cdn.mmk.sk/img/mmk-flt-000011.jpg	https://cdn.mmk.sk/doc/mmk-flt-000011.pdf	áno	2026-06-02
12	MMK-PRT-000012	8597862634716	GAT963013	OE2451960	92215	Gates	Gates	MotoMarket s.r.o.	Náhradné diely	Vodná pumpa	PRT	Vodná pumpa Gates	Vodná pumpa Gates	Vodná pumpa Gates. Presné lícovanie podľa OE špecifikácie, overená spoľahlivosť a životnosť.				Pravá		EUR	23	43.60	53.63	64.28	79.06	47.4	0			€/ks		355	BA-01 Bratislava	Skladom	24 h	1	1	1	1	Plastová nádoba	24 h	9.02	11.14	97	164	250		97x164x250 mm	Škoda Octavia III (5E) 2013–2020	2013	2020		8708.99	Slovensko	Nový	24							https://cdn.mmk.sk/img/mmk-prt-000012.jpg	https://cdn.mmk.sk/doc/mmk-prt-000012.pdf	áno	2026-06-02
13	MMK-TYR-000013	8591812478580	MIC626663		76774	Michelin	Michelin	MotoMarket s.r.o.	Pneumatiky	Zimná pneumatika	TYR	Michelin 175/50 R16 96W zimná	Zimná pneu Michelin 175/50 R16 96W	Zimná pneumatika Michelin 175/50 R16, nosnosť 96, rýchlosť W. EÚ štítok: palivo D, priľnavosť na mokre A, hluk 72 dB.	Rozmer	175/50 R16 96W				EUR	23	122.38	150.53	155.64	191.44	27.2	5	181.87		€/ks		160	DC-WIEN Viedeň	Skladom	24 h	1	1	4	2	Sada v krabici	24 h	12.10	13.98	500	175	175		500x175x175 mm	Univerzálne			ECE R30	4011.10	Čína	Nový	24	Zimná	D	A	72			https://cdn.mmk.sk/img/mmk-tyr-000013.jpg	https://cdn.mmk.sk/doc/mmk-tyr-000013.pdf	áno	2026-06-02
14	MMK-RIM-000014	8591961750025	DEZ624920		69365	Dezent	Dezent	MotoMarket s.r.o.	Disky	Hliníkový disk	RIM	Hliníkový disk Dezent 6.0Jx18 5x108 ET50	Hliníkový disk Dezent 6.0Jx18, 5x108, ET50	Hliníkový disk Dezent, 6.0Jx18, rozteč 5x108, ET50. Certifikované (TÜV), vhodné na celoročné použitie, povrchová úprava lakovaním.	Rozmer	6.0Jx18 5x108 ET50				EUR	23	80.45	98.95	116.48	143.27	44.8	5	136.11		€/ks		10	ZA-02 Žilina	Skladom	24 h	1	4	1	1	Sada v krabici	24 h	9.70	11.75	500	500	150		500x500x150 mm	Univerzálne			TÜV / ECE	8708.70	Poľsko	Nový	24							https://cdn.mmk.sk/img/mmk-rim-000014.jpg	https://cdn.mmk.sk/doc/mmk-rim-000014.pdf	áno	2026-06-02
15	MMK-PRT-000015	8591119934482	DEN312286	OE5550260;OE2541437;OE8929158	51214	Denso	Denso	MotoMarket s.r.o.	Náhradné diely	Alternátor	PRT	Alternátor Denso	Alternátor Denso	Alternátor Denso. Presné lícovanie podľa OE špecifikácie, overená spoľahlivosť a životnosť. Repasovaný diel s vratnou zálohou.	Zadná náprava		Zadná náprava	Pravá		EUR	23	264.95	325.89	370.90	456.21	40.0	0			€/ks	65.10	425	BA-01 Bratislava	Skladom	24 h	1	1	4	4	Fólia	24 h	5.44	6.25	128	60	192		128x60x192 mm	Škoda Fabia II (5J) 2007–2014	2007	2014		8708.99	Taliansko	Repasovaný	24							https://cdn.mmk.sk/img/mmk-prt-000015.jpg	https://cdn.mmk.sk/doc/mmk-prt-000015.pdf	áno	2026-06-02
16	MMK-LGT-000016	8596720533703	OSR931877		34232	Osram	Osram	MotoMarket s.r.o.	Osvetlenie a viditeľnosť	Žiarovka H7	LGT	Žiarovka H7 Osram	Žiarovka H7 Osram	Žiarovka H7 Osram. Vysoká svietivosť / dokonalé stieranie, dlhá životnosť, schválené pre cestnú prevádzku (ECE).	Balenie	Sada				EUR	23	3.80	4.67	5.33	6.56	40.3	0			€/ks		0	KE-03 Košice	Na objednávku	7 dní	7	10	4	4	Plastová nádoba	7 dní	0.42	0.48	67	35	40		67x35x40 mm	Opel Insignia A 2008–2017	2008	2017	ECE R37/R112	8512.20	Poľsko	Nový	12							https://cdn.mmk.sk/img/mmk-lgt-000016.jpg	https://cdn.mmk.sk/doc/mmk-lgt-000016.pdf	áno	2026-06-02
17	MMK-BRK-000017	8596712139326	TRW348106	OE6387594	95480	TRW	TRW	MotoMarket s.r.o.	Brzdový systém	Brzdový strmeň	BRK	Brzdový strmeň TRW	Brzdový strmeň TRW, priemer 280 mm	Brzdový strmeň značky TRW s priemerom 280 mm. Schválené podľa ECE R90, povrchová úprava proti korózii, vyvážené pre nízku hlučnosť.	Os kolesa		Os kolesa	Ľavá		EUR	23	87.27	107.34	118.60	145.88	35.9	15	124.00		€/ks	57.04	20	ZA-02 Žilina	Na ceste	2–3 dni	3	1	1	2	Sada v krabici	2–3 dni	8.40	9.77	280	280	75		280x280x75 mm	Ford Focus III 2010–2018	2010	2018	ECE R90	8708.30	Japonsko	Nový	24							https://cdn.mmk.sk/img/mmk-brk-000017.jpg	https://cdn.mmk.sk/doc/mmk-brk-000017.pdf	áno	2026-06-02
18	MMK-FLU-000018	8593591570318	SHE40914		31069	Sheron	Sheron	MotoMarket s.r.o.	Prevádzkové kvapaliny	Kvapalina do ostrekovačov	FLU	Kvapalina do ostrekovačov Sheron 3 L	Kvapalina do ostrekovačov Sheron, 3 L, —	Kvapalina do ostrekovačov Sheron, norma —, balenie 3 L. Pripravená na priame použitie, v súlade s technickými špecifikáciami výrobcov vozidiel.	Balenie	3 L				EUR	23	6.45	7.93	8.15	10.02	26.4	10	9.02	3.34	€/L		14	ZA-02 Žilina	Na ceste	2–3 dni	3	2	2	1	Blister	2–3 dni	3.29	3.53	216	152	309	3.00	216x152x309 mm	Univerzálne			—	3819.00	Taliansko	Nový	0							https://cdn.mmk.sk/img/mmk-flu-000018.jpg	https://cdn.mmk.sk/doc/mmk-flu-000018.pdf	áno	2026-06-02
19	MMK-ACC-000019	8598530385664	HAP312896		95252	Hapro	Hapro	MotoMarket s.r.o.	Autodoplnky	Strešný box	ACC	Strešný box Hapro	Strešný box Hapro, sivá	Strešný box Hapro. Kvalitné spracovanie, jednoduchá montáž, univerzálne alebo modelovo špecifické prevedenie.	Prevedenie	Sivá			Sivá	EUR	23	459.98	565.78	693.78	853.35	50.8	0			€/ks		126	DC-WIEN Viedeň	Skladom	24 h	1	5	4	4	Fólia	24 h	7.32	8.19	292	247	271		292x247x271 mm	Univerzálne				8708.29	Španielsko	Nový	12							https://cdn.mmk.sk/img/mmk-acc-000019.jpg	https://cdn.mmk.sk/doc/mmk-acc-000019.pdf	áno	2026-06-02
20	MMK-BRK-000020	8591934823961	ATE535789	OE5732621;OE9495641	10156	ATE	ATE	MotoMarket s.r.o.	Brzdový systém	Brzdové platničky	BRK	Brzdové platničky ATE	Brzdové platničky ATE, priemer 256 mm	Brzdové platničky značky ATE s priemerom 256 mm. Schválené podľa ECE R90, povrchová úprava proti korózii, vyvážené pre nízku hlučnosť.	Predná/Zadná náprava		Predná/Zadná náprava	Pravá		EUR	23	31.67	38.95	42.96	52.84	35.6	0			€/ks		0	DC-PRG Praha	Na objednávku	10 dní	10	1	1	2	Kartón	10 dní	4.17	4.66	256	256	73		256x256x73 mm	Škoda Superb II (3T) 2008–2015	2008	2015	ECE R90	8708.30	Japonsko	Nový	24							https://cdn.mmk.sk/img/mmk-brk-000020.jpg	https://cdn.mmk.sk/doc/mmk-brk-000020.pdf	nie	2026-06-02
21	MMK-BRK-000021	8591219775749	BOS170894	OE9032917;OE9102328;OE4429986	59555	Bosch	Bosch	MotoMarket s.r.o.	Brzdový systém	Brzdové platničky	BRK	Brzdové platničky Bosch	Brzdové platničky Bosch, priemer 312 mm	Brzdové platničky značky Bosch s priemerom 312 mm. Schválené podľa ECE R90, povrchová úprava proti korózii, vyvážené pre nízku hlučnosť.	Predná/Zadná náprava		Predná/Zadná náprava	Ľavá		EUR	23	62.15	76.44	86.07	105.87	38.5	10	95.28		€/ks		34	DC-PRG Praha	Na ceste	2–3 dni	3	2	1	1	Blister	2–3 dni	8.88	9.50	312	312	69		312x312x69 mm	Volkswagen Passat B8 2014–2023	2014	2023	ECE R90	8708.30	Slovensko	Nový	24							https://cdn.mmk.sk/img/mmk-brk-000021.jpg	https://cdn.mmk.sk/doc/mmk-brk-000021.pdf	nie	2026-06-02
22	MMK-PRT-000022	8595376566950	DEN64884	OE9911971;OE4457561	50739	Denso	Denso	MotoMarket s.r.o.	Náhradné diely	Alternátor	PRT	Alternátor Denso	Alternátor Denso	Alternátor Denso. Presné lícovanie podľa OE špecifikácie, overená spoľahlivosť a životnosť. Repasovaný diel s vratnou zálohou.				Pravá		EUR	23	217.95	268.08	324.38	398.99	48.8	0			€/ks	39.86	250	BA-01 Bratislava	Skladom	24 h	1	5	4	1	Plastová nádoba	24 h	11.89	12.96	168	84	208		168x84x208 mm	BMW 3 E90 2005–2012	2005	2012		8708.99	Japonsko	Repasovaný	24							https://cdn.mmk.sk/img/mmk-prt-000022.jpg	https://cdn.mmk.sk/doc/mmk-prt-000022.pdf	áno	2026-06-02
23	MMK-RIM-000023	8596305964205	ALC751300		11923	Alcar	Alcar	MotoMarket s.r.o.	Disky	Oceľový disk	RIM	Oceľový disk Alcar 8.0Jx18 5x108 ET48	Oceľový disk Alcar 8.0Jx18, 5x108, ET48	Oceľový disk Alcar, 8.0Jx18, rozteč 5x108, ET48. Certifikované (TÜV), vhodné na celoročné použitie, povrchová úprava lakovaním.	Rozmer	8.0Jx18 5x108 ET48				EUR	23	36.91	45.40	52.35	64.39	41.8	5	61.17		€/ks		19	KE-03 Košice	Na ceste	2–3 dni	3	4	1	1	Kartón	2–3 dni	7.60	9.18	500	500	200		500x500x200 mm	Univerzálne			TÜV / ECE	8708.70	Španielsko	Nový	24							https://cdn.mmk.sk/img/mmk-rim-000023.jpg	https://cdn.mmk.sk/doc/mmk-rim-000023.pdf	áno	2026-06-02
24	MMK-FLT-000024	8598617412337	MAH926949	OE1881964;OE4285268	28473	Mahle	Mahle	MotoMarket s.r.o.	Filtre	Palivový filter	FLT	Palivový filter Mahle	Palivový filter Mahle, typ Vysoký prietok	Palivový filter Mahle (Vysoký prietok). Presná lícovacia geometria, vysoká filtračná účinnosť a dlhá životnosť podľa servisných intervalov výrobcu.	Typ filtra	Vysoký prietok				EUR	23	10.10	12.42	14.41	17.72	42.7	0			€/ks		0	ZA-02 Žilina	Na objednávku	7 dní	7	1	1	2	Plastová nádoba	7 dní	1.00	1.25	287	76	94		287x76x94 mm	Opel Astra J 2009–2015	2009	2015	ISO 4548	8421.23	Japonsko	Nový	24							https://cdn.mmk.sk/img/mmk-flt-000024.jpg	https://cdn.mmk.sk/doc/mmk-flt-000024.pdf	áno	2026-06-02
25	MMK-TYR-000025	8596482846790	CON273296		93363	Continental	Continental	MotoMarket s.r.o.	Pneumatiky	Letná pneumatika	TYR	Continental 205/65 R16 93T letná	Letná pneu Continental 205/65 R16 93T	Letná pneumatika Continental 205/65 R16, nosnosť 93, rýchlosť T. EÚ štítok: palivo B, priľnavosť na mokre B, hluk 73 dB.	Rozmer	205/65 R16 93T				EUR	23	67.28	82.75	91.20	112.18	35.6	0			€/ks		286	DC-PRG Praha	Skladom	24 h	1	1	4	4	Sada v krabici	24 h	7.90	9.04	500	205	205		500x205x205 mm	Univerzálne			ECE R30	4011.10	Japonsko	Nový	24	Letná	B	B	73			https://cdn.mmk.sk/img/mmk-tyr-000025.jpg	https://cdn.mmk.sk/doc/mmk-tyr-000025.pdf	áno	2026-06-02
26	MMK-ACC-000026	8594248113803	PET686604		53300	Petex	Petex	MotoMarket s.r.o.	Autodoplnky	Textilné koberce (sada)	ACC	Textilné koberce (sada) Petex	Textilné koberce (sada) Petex, béžová	Textilné koberce (sada) Petex. Kvalitné spracovanie, jednoduchá montáž, univerzálne alebo modelovo špecifické prevedenie.	Prevedenie	Béžová			Béžová	EUR	23	28.23	34.72	39.64	48.76	40.4	5	46.32		€/ks		23	DC-PRG Praha	Na ceste	2–3 dni	3	2	1	1	Kartón	2–3 dni	5.46	6.35	457	163	253		457x163x253 mm	Univerzálne				8708.29	Francúzsko	Nový	12							https://cdn.mmk.sk/img/mmk-acc-000026.jpg	https://cdn.mmk.sk/doc/mmk-acc-000026.pdf	áno	2026-06-02
27	MMK-LGT-000027	8597219738647	PHI134305		11752	Philips	Philips	MotoMarket s.r.o.	Osvetlenie a viditeľnosť	Žiarovka LED	LGT	Žiarovka LED Philips	Žiarovka LED Philips	Žiarovka LED Philips. Vysoká svietivosť / dokonalé stieranie, dlhá životnosť, schválené pre cestnú prevádzku (ECE).	Balenie	Sada				EUR	23	16.93	20.82	23.28	28.63	37.5	10	25.77		€/ks		4	BA-01 Bratislava	Na ceste	2–3 dni	3	1	1	1	Kartón	2–3 dni	0.54	0.66	636	20	30		636x20x30 mm	Volkswagen Golf VI (5K) 2008–2013	2008	2013	ECE R37/R112	8512.20	Taliansko	Nový	12							https://cdn.mmk.sk/img/mmk-lgt-000027.jpg	https://cdn.mmk.sk/doc/mmk-lgt-000027.pdf	áno	2026-06-02
28	MMK-BRK-000028	8599696135582	TRW478238	OE3180684;OE4179833;OE8965129	33266	TRW	TRW	MotoMarket s.r.o.	Brzdový systém	Brzdové kotúče	BRK	Brzdové kotúče TRW	Brzdové kotúče TRW, priemer 256 mm	Brzdové kotúče značky TRW s priemerom 256 mm. Schválené podľa ECE R90, povrchová úprava proti korózii, vyvážené pre nízku hlučnosť.	Predná/Zadná náprava		Predná/Zadná náprava	Pravá		EUR	23	33.68	41.43	47.05	57.87	39.7	15	49.19		€/ks		0	DC-WIEN Viedeň	Na objednávku	7 dní	7	5	2	2	Kartón	7 dní	2.60	2.99	256	256	28		256x256x28 mm	Hyundai i30 II (GD) 2011–2017	2011	2017	ECE R90	8708.30	Čína	Nový	24							https://cdn.mmk.sk/img/mmk-brk-000028.jpg	https://cdn.mmk.sk/doc/mmk-brk-000028.pdf	áno	2026-06-02
29	MMK-RIM-000029	8596378871998	DEZ507905		38490	Dezent	Dezent	MotoMarket s.r.o.	Disky	Hliníkový disk	RIM	Hliníkový disk Dezent 7.5Jx16 5x108 ET35	Hliníkový disk Dezent 7.5Jx16, 5x108, ET35	Hliníkový disk Dezent, 7.5Jx16, rozteč 5x108, ET35. Certifikované (TÜV), vhodné na celoročné použitie, povrchová úprava lakovaním.	Rozmer	7.5Jx16 5x108 ET35				EUR	23	100.44	123.54	131.74	162.04	31.2	0			€/ks		0	KE-03 Košice	Na objednávku	7 dní	7	1	1	2	Fólia	7 dní	6.70	8.15	450	450	187		450x450x187 mm	Univerzálne			TÜV / ECE	8708.70	Francúzsko	Nový	24							https://cdn.mmk.sk/img/mmk-rim-000029.jpg	https://cdn.mmk.sk/doc/mmk-rim-000029.pdf	áno	2026-06-02
30	MMK-FLU-000030	8594288062611	TRW890795		55174	TRW	TRW	MotoMarket s.r.o.	Prevádzkové kvapaliny	Brzdová kvapalina	FLU	Brzdová kvapalina TRW 0.5 L	Brzdová kvapalina TRW, 0.5 L, DOT 4	Brzdová kvapalina TRW, norma DOT 4, balenie 0.5 L. Pripravená na priame použitie, v súlade s technickými špecifikáciami výrobcov vozidiel.	Balenie	0.5 L				EUR	23	7.99	9.83	11.03	13.57	38.0	15	11.53	27.14	€/L		0	DC-WIEN Viedeň	Na objednávku	7 dní	7	10	2	1	Sada v krabici	7 dní	0.51	0.62	176	104	229	0.50	176x104x229 mm	Univerzálne			DOT 4	3819.00	Francúzsko	Nový	0							https://cdn.mmk.sk/img/mmk-flu-000030.jpg	https://cdn.mmk.sk/doc/mmk-flu-000030.pdf	áno	2026-06-02
31	MMK-ACC-000031	8599510986406	HAP907364		58762	Hapro	Hapro	MotoMarket s.r.o.	Autodoplnky	Strešný box	ACC	Strešný box Hapro	Strešný box Hapro, sivá	Strešný box Hapro. Kvalitné spracovanie, jednoduchá montáž, univerzálne alebo modelovo špecifické prevedenie.	Prevedenie	Sada			Sivá	EUR	23	394.15	484.80	569.96	701.05	44.6	10	630.94		€/ks		0	BA-01 Bratislava	Na objednávku	7 dní	7	1	1	1	Fólia	7 dní	3.91	4.14	597	74	163		597x74x163 mm	Univerzálne				8708.29	Čína	Nový	12							https://cdn.mmk.sk/img/mmk-acc-000031.jpg	https://cdn.mmk.sk/doc/mmk-acc-000031.pdf	áno	2026-06-02
