riadok_id	dodavatelsky_kod	ean	mpn	oe_cisla	tecdoc_id	znacka	vyrobca	dodavatel	kategoria	podkategoria	kategoria_kod	nazov_produktu	kratky_popis	dlhy_popis	typ_variantu	hodnota_variantu	pozicia_montaze	strana	farba	mena	dph_sadzba_pct	voc_bez_dph	voc_s_dph	moc_bez_dph	moc_s_dph	marza_pct	rabat_pct	akciova_cena_s_dph	cena_za_jednotku	jednotka_ceny	zaloha_za_diel	sklad_mnozstvo	sklad_lokalita	dostupnost	doba_dodania	doba_dodania_dni	min_objednavka	objednavkovy_nasobok	ks_v_baleni	balenie_typ	expedicia_do	hmotnost_netto_kg	hmotnost_brutto_kg	dlzka_mm	sirka_mm	vyska_mm	objem_l	rozmery_text	kompatibilita_vozidla	rok_vyroby_od	rok_vyroby_do	norma_certifikat	colny_kod_hs	krajina_povodu	stav_tovaru	zaruka_mesiace	pneu_sezonnost	eu_stitok_palivo	eu_stitok_prilnavost	eu_stitok_hluk_db	olej_viskozita	olej_norma	obrazok_url	datasheet_url	aktivny	datum_aktualizacie
11	MDS-FLT-000011	8596342160738	MAN219267	OE6573147	70332	Mann-Filter	Mann-Filter	MotoDiely SK s.r.o.	Filtre	Vzduchový filter	FLT	Vzduchový filter Mann-Filter	Vzduchový filter Mann-Filter, typ Aktívne uhlie	Vzduchový filter Mann-Filter (Aktívne uhlie). Presná lícovacia geometria, vysoká filtračná účinnosť a dlhá životnosť podľa servisných intervalov výrobcu.	Typ filtra	Aktívne uhlie				EUR	23	23.16	28.49	36.63	45.05	58.2	0			€/ks		0	KE-03 Košice	Na objednávku	10 dní	10	1	1	1	Kartón	10 dní	1.25	1.48	164	218	49		164x218x49 mm	Škoda Octavia II (1Z) 2004–2013	2004	2013	ISO 4548	8421.23	Slovensko	Nový	24							https://cdn.mds.sk/img/mds-flt-000011.jpg	https://cdn.mds.sk/doc/mds-flt-000011.pdf	áno	2026-06-02
12	MDS-PRT-000012	8596981693406	LUK753215	OE6799667;OE6262632	67154	LuK	LuK	MotoDiely SK s.r.o.	Náhradné diely	Spojková sada	PRT	Spojková sada LuK	Spojková sada LuK	Spojková sada LuK. Presné lícovanie podľa OE špecifikácie, overená spoľahlivosť a životnosť.	Motor		Motor	Ľavá		EUR	23	174.01	214.03	231.23	284.41	32.9	0			€/ks		140	BA-01 Bratislava	Skladom	24 h	1	4	1	1	Plastová nádoba	24 h	6.26	6.66	397	265	167		397x265x167 mm	Renault Mégane III 2008–2016	2008	2016		8708.99	Španielsko	Nový	24							https://cdn.mds.sk/img/mds-prt-000012.jpg	https://cdn.mds.sk/doc/mds-prt-000012.pdf	áno	2026-06-02
13	MDS-TYR-000013	8599468044364	CON833927		86019	Continental	Continental	MotoDiely SK s.r.o.	Pneumatiky	Zimná pneumatika	TYR	Continental 225/55 R17 98T zimná	Zimná pneu Continental 225/55 R17 98T	Zimná pneumatika Continental 225/55 R17, nosnosť 98, rýchlosť T. EÚ štítok: palivo E, priľnavosť na mokre C, hluk 70 dB.	Rozmer	225/55 R17 98T				EUR	23	108.41	133.34	143.78	176.85	32.6	5	168.01		€/ks		11	DC-WIEN Viedeň	Na ceste	2–3 dni	3	5	2	2	Plastová nádoba	2–3 dni	8.10	9.22	525	225	225		525x225x225 mm	Univerzálne			ECE R30	4011.10	Taliansko	Nový	24	Zimná	E	C	70			https://cdn.mds.sk/img/mds-tyr-000013.jpg	https://cdn.mds.sk/doc/mds-tyr-000013.pdf	nie	2026-06-02
14	MDS-BAT-000014	8590379176939	EXI763240		60328	Exide	Exide	MotoDiely SK s.r.o.	Elektrika	Autobatéria	BAT	Autobatéria Exide 80 Ah 12V 720A	Autobatéria Exide 80 Ah, štart. prúd 720 A	Štartovacia batéria Exide 80 Ah, 12 V, štartovací prúd 720 A. Bezúdržbová, vhodná pre vozidlá so systémom štart-stop.	Kapacita	80 Ah				EUR	23	81.20	99.88	98.96	121.72	21.9	0			€/ks	12.33	12	DC-PRG Praha	Na ceste	2–3 dni	3	2	1	1	Kartón	2–3 dni	18.30	22.48	242	175	190		242x175x190 mm	Škoda Octavia II (1Z) 2004–2013	2004	2013	EN 50342	8507.10	Česko	Nový	24							https://cdn.mds.sk/img/mds-bat-000014.jpg	https://cdn.mds.sk/doc/mds-bat-000014.pdf	nie	2026-06-02
15	MDS-FLT-000015	8597743487349	MAN471239	OE8159521;OE8481188;OE3670226	20155	Mann-Filter	Mann-Filter	MotoDiely SK s.r.o.	Filtre	Palivový filter	FLT	Palivový filter Mann-Filter	Palivový filter Mann-Filter, typ Vysoký prietok	Palivový filter Mann-Filter (Vysoký prietok). Presná lícovacia geometria, vysoká filtračná účinnosť a dlhá životnosť podľa servisných intervalov výrobcu.	Typ filtra	Vysoký prietok				EUR	23	14.73	18.12	22.34	27.48	51.7	10	24.73		€/ks		391	KE-03 Košice	Skladom	24 h	1	1	2	1	Fólia	24 h	1.20	1.47	176	94	89		176x94x89 mm	Dacia Duster I 2010–2018	2010	2018	ISO 4548	8421.23	Česko	Nový	24							https://cdn.mds.sk/img/mds-flt-000015.jpg	https://cdn.mds.sk/doc/mds-flt-000015.pdf	áno	2026-06-02
16	MDS-FLT-000016	8595466889372	BOS240080	OE7381734;OE9002392;OE1098919	45774	Bosch	Bosch	MotoDiely SK s.r.o.	Filtre	Palivový filter	FLT	Palivový filter Bosch	Palivový filter Bosch, typ Vysoký prietok	Palivový filter Bosch (Vysoký prietok). Presná lícovacia geometria, vysoká filtračná účinnosť a dlhá životnosť podľa servisných intervalov výrobcu.	Typ filtra	Vysoký prietok				EUR	23	13.78	16.95	20.04	24.65	45.4	0			€/ks		0	DC-PRG Praha	Na objednávku	14 dní	14	2	1	2	Fólia	14 dní	0.64	0.76	144	198	89		144x198x89 mm	Škoda Octavia II (1Z) 2004–2013	2004	2013	ISO 4548	8421.23	Slovensko	Nový	24							https://cdn.mds.sk/img/mds-flt-000016.jpg	https://cdn.mds.sk/doc/mds-flt-000016.pdf	áno	2026-06-02
17	MDS-ACC-000017	8597556464179	KEG30324		80702	Kegel	Kegel	MotoDiely SK s.r.o.	Autodoplnky	Autopoťahy (sada)	ACC	Autopoťahy (sada) Kegel	Autopoťahy (sada) Kegel, —	Autopoťahy (sada) Kegel. Kvalitné spracovanie, jednoduchá montáž, univerzálne alebo modelovo špecifické prevedenie.	Prevedenie	Univerzál			—	EUR	23	66.43	81.71	109.84	135.10	65.3	0			€/ks		199	BA-01 Bratislava	Skladom	24 h	1	1	1	1	Kartón	24 h	6.00	7.21	135	379	239		135x379x239 mm	Univerzálne				8708.29	Taliansko	Nový	12							https://cdn.mds.sk/img/mds-acc-000017.jpg	https://cdn.mds.sk/doc/mds-acc-000017.pdf	áno	2026-06-02
18	MDS-ACC-000018	8594190496634	KEG89688		87607	Kegel	Kegel	MotoDiely SK s.r.o.	Autodoplnky	Autopoťahy (sada)	ACC	Autopoťahy (sada) Kegel	Autopoťahy (sada) Kegel, sivá	Autopoťahy (sada) Kegel. Kvalitné spracovanie, jednoduchá montáž, univerzálne alebo modelovo špecifické prevedenie.	Prevedenie	Sivá			Sivá	EUR	23	58.15	71.52	81.92	100.76	40.9	10	90.68		€/ks		0	ZA-02 Žilina	Na objednávku	7 dní	7	1	2	4	Kartón	7 dní	1.12	1.35	273	288	151		273x288x151 mm	Univerzálne				8708.29	Čína	Nový	12							https://cdn.mds.sk/img/mds-acc-000018.jpg	https://cdn.mds.sk/doc/mds-acc-000018.pdf	áno	2026-06-02
19	MDS-PRT-000019	8594987769453	CON903085	OE3955087;OE9753457	42177	Contitech	Contitech	MotoDiely SK s.r.o.	Náhradné diely	Rozvodová sada	PRT	Rozvodová sada Contitech	Rozvodová sada Contitech	Rozvodová sada Contitech. Presné lícovanie podľa OE špecifikácie, overená spoľahlivosť a životnosť.				Sada		EUR	23	101.32	124.62	134.39	165.30	32.6	0			€/ks		29	BA-01 Bratislava	Na ceste	2–3 dni	3	1	4	1	Plastová nádoba	2–3 dni	6.22	7.24	224	53	247		224x53x247 mm	Volkswagen Golf VI (5K) 2008–2013	2008	2013		8708.99	Slovensko	Nový	24							https://cdn.mds.sk/img/mds-prt-000019.jpg	https://cdn.mds.sk/doc/mds-prt-000019.pdf	áno	2026-06-02
20	MDS-BRK-000020	8597701436341	TRW706212	OE8987516	86225	TRW	TRW	MotoDiely SK s.r.o.	Brzdový systém	Brzdový strmeň	BRK	Brzdový strmeň TRW	Brzdový strmeň TRW, priemer 300 mm	Brzdový strmeň značky TRW s priemerom 300 mm. Schválené podľa ECE R90, povrchová úprava proti korózii, vyvážené pre nízku hlučnosť.	Os kolesa		Os kolesa			EUR	23	136.75	168.20	178.12	219.09	30.3	0			€/ks	28.48	373	KE-03 Košice	Skladom	24 h	1	2	2	2	Sada v krabici	24 h	3.76	4.20	300	300	53		300x300x53 mm	Ford Mondeo IV 2007–2014	2007	2014	ECE R90	8708.30	Turecko	Nový	24							https://cdn.mds.sk/img/mds-brk-000020.jpg	https://cdn.mds.sk/doc/mds-brk-000020.pdf	áno	2026-06-02
21	MDS-PRT-000021	8594352408246	SKF57726	OE4256752	17146	SKF	SKF	MotoDiely SK s.r.o.	Náhradné diely	Ložisko kolesa	PRT	Ložisko kolesa SKF	Ložisko kolesa SKF	Ložisko kolesa SKF. Presné lícovanie podľa OE špecifikácie, overená spoľahlivosť a životnosť.	Zadná náprava		Zadná náprava	Pravá		EUR	23	69.60	85.61	94.25	115.93	35.4	5	110.13		€/ks		306	DC-WIEN Viedeň	Skladom	24 h	1	1	1	2	Kartón	24 h	3.99	4.89	324	293	225		324x293x225 mm	Audi A6 C7 2011–2018	2011	2018		8708.99	Čína	Nový	24							https://cdn.mds.sk/img/mds-prt-000021.jpg	https://cdn.mds.sk/doc/mds-prt-000021.pdf	áno	2026-06-02
22	MDS-FLU-000022	8592941318693	VAL635084		91057	Valvoline	Valvoline	MotoDiely SK s.r.o.	Prevádzkové kvapaliny	Motorový olej	FLU	Motorový olej Valvoline 5W-30 4 L	Syntetický olej Valvoline 5W-30, balenie 4 L	Plne syntetický motorový olej Valvoline 5W-30. Normy ACEA C3, API SP, schválenia VW/MB/BMW. Balenie 4 L.	Viskozita/Balenie	5W-30 / 4 L				EUR	23	51.03	62.77	66.35	81.61	30.0	0		20.40	€/L		356	ZA-02 Žilina	Skladom	24 h	1	10	4	2	Plastová nádoba	24 h	3.80	4.22	119	300	153	4.00	119x300x153 mm	Univerzálne			ACEA C3 / API SP	3819.00	Čína	Nový	0					5W-30	ACEA C3, API SP	https://cdn.mds.sk/img/mds-flu-000022.jpg	https://cdn.mds.sk/doc/mds-flu-000022.pdf	nie	2026-06-02
23	MDS-PRT-000023	8593447134930	SAC455790	OE8883823;OE5886520;OE1547605	25043	Sachs	Sachs	MotoDiely SK s.r.o.	Náhradné diely	Tlmič pruženia	PRT	Tlmič pruženia Sachs	Tlmič pruženia Sachs	Tlmič pruženia Sachs. Presné lícovanie podľa OE špecifikácie, overená spoľahlivosť a životnosť.	Predná náprava		Predná náprava	Pravá		EUR	23	125.02	153.77	170.02	209.12	36.0	10	188.21		€/ks		6	DC-WIEN Viedeň	Skladom	24 h	1	1	1	1	Blister	24 h	2.73	2.91	158	117	199		158x117x199 mm	Toyota Corolla E170 2013–2019	2013	2019		8708.99	Poľsko	Nový	24							https://cdn.mds.sk/img/mds-prt-000023.jpg	https://cdn.mds.sk/doc/mds-prt-000023.pdf	áno	2026-06-02
24	MDS-TYR-000024	8595940139900	BRI811909		98117	Bridgestone	Bridgestone	MotoDiely SK s.r.o.	Pneumatiky	Celoročná pneumatika	TYR	Bridgestone 215/55 R18 89T celoročná	Celoročná pneu Bridgestone 215/55 R18 89T	Celoročná pneumatika Bridgestone 215/55 R18, nosnosť 89, rýchlosť T. EÚ štítok: palivo D, priľnavosť na mokre C, hluk 71 dB.	Rozmer	215/55 R18 89T				EUR	23	157.72	194.00	203.24	249.99	28.9	0			€/ks		460	KE-03 Košice	Skladom	24 h	1	4	1	1	Plastová nádoba	24 h	9.80	11.31	550	215	215		550x215x215 mm	Univerzálne			ECE R30	4011.10	Turecko	Nový	24	Celoročná	D	C	71			https://cdn.mds.sk/img/mds-tyr-000024.jpg	https://cdn.mds.sk/doc/mds-tyr-000024.pdf	áno	2026-06-02
25	MDS-FLT-000025	8595451680878	HEN443321	OE1615675;OE8630712;OE2477398	17104	Hengst	Hengst	MotoDiely SK s.r.o.	Filtre	Palivový filter	FLT	Palivový filter Hengst	Palivový filter Hengst, typ Štandard	Palivový filter Hengst (Štandard). Presná lícovacia geometria, vysoká filtračná účinnosť a dlhá životnosť podľa servisných intervalov výrobcu.	Typ filtra	Štandard				EUR	23	20.69	25.45	32.37	39.82	56.5	0			€/ks		258	ZA-02 Žilina	Skladom	24 h	1	4	2	4	Plastová nádoba	24 h	0.63	0.74	142	231	43		142x231x43 mm	Mercedes-Benz C W204 2007–2014	2007	2014	ISO 4548	8421.23	Nemecko	Nový	24							https://cdn.mds.sk/img/mds-flt-000025.jpg	https://cdn.mds.sk/doc/mds-flt-000025.pdf	áno	2026-06-02
26	MDS-PRT-000026	8597484677375	GAT588043	OE3583206	28958	Gates	Gates	MotoDiely SK s.r.o.	Náhradné diely	Vodná pumpa	PRT	Vodná pumpa Gates	Vodná pumpa Gates	Vodná pumpa Gates. Presné lícovanie podľa OE špecifikácie, overená spoľahlivosť a životnosť.	Zadná náprava		Zadná náprava	Pravá		EUR	23	57.35	70.54	79.01	97.18	37.8	0			€/ks		52	DC-PRG Praha	Skladom	24 h	1	1	1	1	Fólia	24 h	8.47	10.20	112	57	191		112x57x191 mm	Opel Astra J 2009–2015	2009	2015		8708.99	Slovensko	Nový	24							https://cdn.mds.sk/img/mds-prt-000026.jpg	https://cdn.mds.sk/doc/mds-prt-000026.pdf	áno	2026-06-02
27	MDS-LGT-000027	8598675339638	VAL907594		63841	Valeo	Valeo	MotoDiely SK s.r.o.	Osvetlenie a viditeľnosť	Stierač (sada)	LGT	Stierač (sada) Valeo	Stierač (sada) Valeo	Stierač (sada) Valeo. Vysoká svietivosť / dokonalé stieranie, dlhá životnosť, schválené pre cestnú prevádzku (ECE).	Balenie	Sada				EUR	23	27.69	34.06	40.06	49.27	44.7	0			€/ks		252	BA-01 Bratislava	Skladom	24 h	1	1	4	2	Plastová nádoba	24 h	0.26	0.32	345	57	57		345x57x57 mm	Ford Mondeo IV 2007–2014	2007	2014	ECE R37/R112	8512.20	Poľsko	Nový	12							https://cdn.mds.sk/img/mds-lgt-000027.jpg	https://cdn.mds.sk/doc/mds-lgt-000027.pdf	nie	2026-06-02
28	MDS-LGT-000028	8594596158655	BOS667246		73956	Bosch	Bosch	MotoDiely SK s.r.o.	Osvetlenie a viditeľnosť	Žiarovka H7	LGT	Žiarovka H7 Bosch	Žiarovka H7 Bosch	Žiarovka H7 Bosch. Vysoká svietivosť / dokonalé stieranie, dlhá životnosť, schválené pre cestnú prevádzku (ECE).	Balenie	Sada				EUR	23	11.65	14.33	18.33	22.55	57.3	0			€/ks		0	DC-WIEN Viedeň	Na objednávku	7 dní	7	1	1	1	Fólia	7 dní	0.30	0.37	142	48	26		142x48x26 mm	Opel Insignia A 2008–2017	2008	2017	ECE R37/R112	8512.20	Česko	Nový	12							https://cdn.mds.sk/img/mds-lgt-000028.jpg	https://cdn.mds.sk/doc/mds-lgt-000028.pdf	nie	2026-06-02
29	MDS-LGT-000029	8596922219696	SWF726318		41566	SWF	SWF	MotoDiely SK s.r.o.	Osvetlenie a viditeľnosť	Stierač (sada)	LGT	Stierač (sada) SWF	Stierač (sada) SWF	Stierač (sada) SWF. Vysoká svietivosť / dokonalé stieranie, dlhá životnosť, schválené pre cestnú prevádzku (ECE).	Balenie	2 ks (pár)				EUR	23	28.94	35.60	44.53	54.77	53.9	0			€/ks		225	DC-PRG Praha	Skladom	24 h	1	4	1	1	Plastová nádoba	24 h	0.38	0.45	346	21	22		346x21x22 mm	Ford Focus III 2010–2018	2010	2018	ECE R37/R112	8512.20	Turecko	Nový	12							https://cdn.mds.sk/img/mds-lgt-000029.jpg	https://cdn.mds.sk/doc/mds-lgt-000029.pdf	áno	2026-06-02
30	MDS-TYR-000030	8599594406401	BRI603419		99889	Bridgestone	Bridgestone	MotoDiely SK s.r.o.	Pneumatiky	Zimná pneumatika	TYR	Bridgestone 205/55 R16 89T zimná	Zimná pneu Bridgestone 205/55 R16 89T	Zimná pneumatika Bridgestone 205/55 R16, nosnosť 89, rýchlosť T. EÚ štítok: palivo D, priľnavosť na mokre C, hluk 71 dB.	Rozmer	205/55 R16 89T				EUR	23	125.67	154.57	156.64	192.67	24.6	5	183.04		€/ks		0	BA-01 Bratislava	Na objednávku	10 dní	10	4	4	1	Blister	10 dní	9.50	11.13	500	205	205		500x205x205 mm	Univerzálne			ECE R30	4011.10	Španielsko	Nový	24	Zimná	D	C	71			https://cdn.mds.sk/img/mds-tyr-000030.jpg	https://cdn.mds.sk/doc/mds-tyr-000030.pdf	áno	2026-06-02
31	MDS-TYR-000031	8598588424742	MAT792824		54396	Matador	Matador	MotoDiely SK s.r.o.	Pneumatiky	Zimná pneumatika	TYR	Matador 195/50 R15 98H zimná	Zimná pneu Matador 195/50 R15 98H	Zimná pneumatika Matador 195/50 R15, nosnosť 98, rýchlosť H. EÚ štítok: palivo E, priľnavosť na mokre A, hluk 72 dB.	Rozmer	195/50 R15 98H				EUR	23	84.34	103.74	116.40	143.17	38.0	0			€/ks		0	BA-01 Bratislava	Na objednávku	7 dní	7	2	1	1	Blister	7 dní	7.70	9.41	475	195	195		475x195x195 mm	Univerzálne			ECE R30	4011.10	Slovensko	Nový	24	Zimná	E	A	72			https://cdn.mds.sk/img/mds-tyr-000031.jpg	https://cdn.mds.sk/doc/mds-tyr-000031.pdf	áno	2026-06-02
